season,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB,POSTSEASON,SEED,free_throw_pct,three_point_pct,roster_experience_years
2026,Indiana,B10,32,18,122.01486161779312,102.1624706398042,0.8851522444744399,,,,,,,,,,,,,,,66.2431258225569,-0.1411528720064835,,,,,
2026,Miami FL,ACC,35,26,120.8406148162574,101.29964862482336,0.8837549412619505,,,,,,,,,,,,,,,67.94427331173864,3.707066951909249,,,,,
2026,Villanova,BE,33,24,119.9176385586437,100.99144552205176,0.8781843266634163,,,,,,,,,,,,,,,65.05283977637664,4.271401090361012,,,,,
2026,BYU,B12,35,23,124.22682978307584,104.64776936508042,0.8778637189807557,,,,,,,,,,,,,,,69.73624301127641,4.636326006918951,,,,,
2026,Clemson,ACC,35,24,116.6845663573548,98.32624084008766,0.8774615665536905,,,,,,,,,,,,,,,64.08946709709367,3.0733705281642023,,,,,
2026,Oklahoma,SEC,34,19,125.55797165910414,106.16487031370548,0.8731835013773441,,,,,,,,,,,,,,,66.2369118196115,-0.3037759919929131,,,,,
2026,Texas A&M,SEC,34,22,119.56696300235706,101.27916896060071,0.8709013585152514,,,,,,,,,,,,,,,70.68277824357438,1.7052358531946297,,,,,
2026,Saint Louis,A10,35,29,120.49387791197086,102.06922489929453,0.8708391100106566,,,,,,,,,,,,,,,70.99863875413912,2.2483758919251193,,,,,
2026,Texas,SEC,35,21,123.58576164864895,105.03362055961756,0.8665196761671516,,,,,,,,,,,,,,,66.82485960894105,-0.1794544229412941,,,,,
2026,N.C. State,ACC,34,20,122.995950391411,104.65668199280437,0.8649305979895122,,,,,,,,,,,,,,,69.07811648108064,0.2764173326595079,,,,,
2026,Georgia,SEC,33,22,123.8077664146398,105.45395793217256,0.8635672547921079,,,,,,,,,,,,,,,72.18915790384331,2.8149113632824765,,,,,
2026,Auburn,SEC,35,19,124.81251735874648,106.96721963293382,0.8549964007756193,,,,,,,,,,,,,,,67.48718726934075,0.4510220779553781,,,,,
2026,San Diego St.,MWC,33,22,112.52575380089012,96.51331072380896,0.8538676665301163,,,,,,,,,,,,,,,68.64911929543264,0.2525466063071441,,,,,
2026,VCU,A10,36,28,118.46261545424328,102.17667561865348,0.8456367113634495,,,,,,,,,,,,,,,68.62684094259092,2.219591524357346,,,,,
2026,Missouri,SEC,33,20,119.77877632441351,103.4131562239779,0.8441603257730924,,,,,,,,,,,,,,,66.41803342056068,1.37256998194276,,,,,
2026,Baylor,B12,32,16,123.82419621605452,107.10053619291612,0.8413877726840177,,,,,,,,,,,,,,,67.8654030030352,-2.0593919653025203,,,,,
2026,SMU,ACC,34,20,122.7410686321337,106.2670192748056,0.8398891203588027,,,,,,,,,,,,,,,68.51078899578934,-0.1210885117492839,,,,,
2026,TCU,B12,35,23,114.62478057354848,99.33828251470192,0.8383536969880996,,,,,,,,,,,,,,,67.53849540767489,2.388631651496578,,,,,
2026,South Florida,Amer,34,25,116.91880633350748,101.37021184193344,0.8376784668634802,,,,,,,,,,,,,,,71.43364504436344,0.1056395822226615,,,,,
2026,New Mexico,MWC,35,25,117.73566524929235,102.103264513801,0.8372978748470369,,,,,,,,,,,,,,,69.81782208869672,-0.136856590673134,,,,,
2026,Florida St.,ACC,33,18,119.27281000035455,104.39105329156588,0.8223861544268218,,,,,,,,,,,,,,,70.67254455090047,-1.8650835179801708,,,,,
2026,Grand Canyon,MWC,32,20,111.4510093880084,97.752619916854,0.8187896694627843,,,,,,,,,,,,,,,68.04797503604364,-2.7657248141039403,,,,,
2026,Washington,B10,33,16,116.79934547492212,102.447873090899,0.8187183980705867,,,,,,,,,,,,,,,67.08822778263765,-2.759788245507687,,,,,
2026,Boise St.,MWC,32,20,118.39060138758568,103.8599552465133,0.8184495547977751,,,,,,,,,,,,,,,65.77259649558454,-1.808381911937828,,,,,
2026,Virginia Tech,ACC,32,19,117.5627139904036,103.68026312815884,0.8092419081680445,,,,,,,,,,,,,,,67.23472091988269,-0.9728523602153658,,,,,
2026,Minnesota,B10,32,15,116.0680849633779,102.38110116471432,0.8089126752992476,,,,,,,,,,,,,,,62.69559460072965,-3.735086639316037,,,,,
2026,Seton Hall,BE,33,21,109.21611184263472,96.45840687819693,0.806666247630619,,,,,,,,,,,,,,,65.18596359894103,0.0633292559846785,,,,,
2026,UCF,B12,33,21,119.4685713307399,105.65662567481704,0.8042193441065965,,,,,,,,,,,,,,,69.27268181904047,2.1735645022754024,,,,,
2026,Northwestern,B10,34,15,116.62581988330106,103.77962365174024,0.7928288287099925,,,,,,,,,,,,,,,65.15209732168198,-3.4415344106510326,,,,,
