team,last5_margin,last10_margin,last5_winpct
Kentucky St.,-37.0,-37.0,0.0
Ky. Christian,-43.0,-44.0,0.0
LIFE,-27.0,-27.0,0.0
LIFE Pacific,-8.0,-8.0,0.0
LIU,7.6,10.4,1.0
LSU,-6.0,-6.2,0.0
La Salle,-11.8,-12.4,0.2
La Sierra,-39.0,-39.3333,0.0
La Verne,-32.0,-32.0,0.0
La. Christian,-53.0,-53.0,0.0
LaGrange,-46.5,-46.5,0.0
Lafayette,0.6,-1.8,0.6
Lamar,-13.8,-9.2,0.0
Lancaster Bible,-29.0,-29.0,0.0
Lane,-6.0,-6.0,0.0
Lawrence,-35.0,-35.0,0.0
Le Moyne,-3.4,-2.0,0.2
LeTourneau,-36.0,-36.0,0.0
Lehigh,9.0,7.8,1.0
Lehman,-34.0,-34.0,0.0
Lewis & Clark,-17.0,-17.0,0.0
Liberty,-1.4,-2.4,0.4
Lincoln (CA),-41.8,-54.6,0.0
Lindenwood,7.6,2.2,0.6
Lipscomb,-9.8,-0.6,0.4
Little Rock,2.4,0.0,0.4
Long Beach St.,1.4,-1.6,0.6
Longwood,7.4,4.8,0.6
Loras,-22.0,-22.0,0.0
Louisiana,-7.0,-7.0,0.4
Louisiana Monroe,-15.8,-13.2,0.0
Louisiana Tech,14.2,10.8,1.0
Louisville,0.2,2.4,0.6
Lourdes,-33.0,-33.0,0.0
Loyola Chicago,2.4,-0.4,0.6
Loyola MD,-5.0,-7.8,0.4
Loyola Marymount,-3.4,0.6,0.2
Lynchburg,-11.0,-11.0,0.0
Lyon,-58.0,-58.0,0.0
MIT,-29.0,-29.0,0.0
MUW,-36.0,-36.0,0.0
Maine,-6.6,-1.2,0.0
Manhattan,-8.0,-7.0,0.0
Manhattan Chrst.,-51.0,-51.0,0.0
Manhattanville,-34.0,-34.0,0.0
Manor,-32.5,-32.5,0.0
Mansfield,-30.0,-30.0,0.0
Marist,-1.0,2.0,0.4
Marquette,6.0,6.2,0.6
Marshall,-6.6,-3.0,0.2
Mary Baldwin,-59.5,-59.5,0.0
Maryland,-1.6,-8.8,0.4
Maryland Eastern Shore,-4.0,-1.2,0.0
Marywood,-60.0,-60.0,0.0
Massachusetts,0.0,-2.8,0.6
Mayville St.,-70.0,-70.0,0.0
McKendree,-41.0,-41.0,0.0
McMurry,-37.0,-37.0,0.0
McNeese St.,10.4,8.2,1.0
Me.-Augusta,-45.0,-45.0,0.0
Me.-Fort Kent,-38.0,-38.0,0.0
Memphis,-5.8,-8.0,0.4
Menlo,-27.0,-27.0,0.0
Mercer,0.0,-0.6,0.4
Merchant Marine,-57.0,-57.0,0.0
Mercy,-26.0,-26.0,0.0
Mercyhurst,0.2,1.2,0.6
Merrimack,0.8,3.0,0.6
Miami FL,-7.4,2.0,0.4
Miami Hamilton,-43.0,-43.0,0.0
Miami OH,-0.4,2.4,0.6
Miami-Middletown,-53.0,-53.0,0.0
Michigan,-1.8,4.2,0.6
Michigan St.,2.6,4.2,0.6
Mid-Amer. Christian,-22.0,-22.0,0.0
Mid-Atlantic Christ.,-34.8,-38.8,0.0
Middle Tennessee,1.6,3.6,0.6
Midway,-43.2,-36.0,0.0
Midwestern St.,-10.0,-10.0,0.0
Milligan,-51.5,-51.5,0.0
Millsaps,-27.0,-27.0,0.0
Milwaukee,-5.4,-4.2,0.4
Minn.-Crookston,-34.0,-34.0,0.0
Minnesota,-7.6,-7.8,0.4
Misericordia,-27.5,-27.5,0.0
Mississippi,4.0,1.8,1.0
Mississippi St.,-16.4,-21.4,0.0
Mississippi Valley St.,-13.8,-11.2,0.0
Missouri,-7.2,0.4,0.0
Missouri Southern,-18.0,-18.0,0.0
Missouri St.,2.6,0.8,0.6
Mitchell,-23.0,-23.0,0.0
Mo. Baptist,-37.0,-37.0,0.0
Mobile,-33.0,-33.0,0.0
Molloy,-34.0,-34.0,0.0
Monmouth,3.2,6.8,0.6
MonroeLouisiana,6.0,6.0,1.0
Montana,-2.0,-4.8,0.6
Montana St.,7.0,5.6,0.6
Montana Western,-16.0,-16.0,0.0
Morehead St.,-7.2,1.6,0.6
Morehouse,-9.0,-9.0,0.0
Morgan St.,0.8,-2.6,0.6
Morris,-33.0,-33.0,0.0
Mount Olive,-29.0,-29.0,0.0
Mount St. Mary's,5.2,8.6,0.4
Mt. Marty,-25.0,-25.0,0.0
Mt. St. Mary (NY),-69.0,-69.0,0.0
Murray St.,-6.6,-8.8,0.2
N.C. State,1.0,-6.6,0.4
N.M. Highlands,-33.2,-33.3333,0.0
NJIT,-10.6,-13.8,0.4
Navy,4.8,13.0,0.6
Nebraska,-6.8,0.2,0.4
Nebraska Omaha,-7.0,-6.6,0.4
Nevada,3.4,6.2,0.6
New College (FL),-45.5,-45.5,0.0
New Hampshire,-8.6,-7.6,0.4
New Haven,0.4,3.6,0.4
New Mexico,4.8,1.4,0.4
New Mexico St.,-0.6,0.2,0.6
New Orleans,-0.8,-0.6,0.4
Niagara,-3.0,-4.2,0.4
Nicholls St.,-3.6,-1.0,0.4
Nobel,-33.4,-37.2,0.0
Non-DI,-42.0,-42.0,0.0
Norfolk St.,-6.8,1.0,0.0
North,-40.0,-40.0,0.0
North Alabama,-8.2,-9.4,0.2
North Carolina,-5.6,-0.4,0.2
North Carolina A&T,-14.2,-8.0,0.0
North Carolina Central,2.0,3.0,0.8
North Central (IL),-33.0,-33.0,0.0
North Central (MN),-46.0,-46.0,0.0
North Dakota,0.4,-6.4,0.6
North Dakota St.,15.0,10.8,1.0
North Florida,-11.6,-6.4,0.2
North Greenville,-1.0,-1.0,0.5
North Texas,0.0,1.0,0.6
Northeastern,2.4,-3.0,0.4
Northeastern St.,-21.0,-21.0,0.0
Northern,-15.0,-15.0,0.5
Northern Arizona,-13.8,-14.2,0.0
Northern Colorado,10.6,4.4,0.6
Northern Illinois,-33.2,-23.8,0.0
Northern Iowa,12.0,14.4,1.0
Northern Kentucky,3.0,3.6,0.6
Northern New Mexico,-50.0,-50.0,0.0
Northern St.,-24.0,-24.0,0.0
Northwest (WA),-39.0,-39.0,0.0
Northwest Indian,-60.2,-61.0,0.0
Northwestern,2.0,1.0,0.6
Northwestern Okla.,-49.0,-49.0,0.0
Northwestern St.,-12.8,-3.0,0.0
Northwood,4.0,4.0,1.0
Notre Dame,-5.2,-11.8,0.2
Notre Dame (MD),-39.6,-41.3333,0.0
Oakland,-0.4,2.2,0.2
Oakland City,-36.5,-36.5,0.0
Oakwood,-48.8,-49.6667,0.0
Occidental,-29.0,-29.0,0.0
Oglethorpe,-50.0,-50.0,0.0
Ohio,-7.6,-5.8,0.0
Ohio Christian,-35.0,-35.0,0.0
Ohio St.,2.2,10.4,0.6
Ohio Wesleyan,-53.0,-53.0,0.0
Okla. Christian,-43.0,-43.0,0.0
Oklahoma,9.2,9.6,0.6
Oklahoma St.,-0.6,-4.2,0.4
Old Dominion,2.8,-0.6,0.6
Old Westbury,-69.0,-69.0,0.0
Olivet,-20.0,-20.0,0.0
Oral Roberts,9.2,12.4,0.6
Oregon,-6.8,-3.4,0.4
