Date,Odds_File,Home,Away,Market_Spread,Pred_Margin,Pick_Spread,Confidence_Level,Edge_Points,Has_Rebound_Advantage,Spread_Prob,Over_Under,Pick_Total
2026-03-08,March_08_2026_Odds.csv,Montana St.,Idaho,-2.5,3.7332193851470943,Away,Medium,-6.233219385147095,False,0.3937379373590514,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Santa Clara,Pacific,-10.5,-30.187719345092773,Home,High,19.687719345092773,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,Rutgers,Penn St.,-4.5,10.400583267211914,Away,High,-14.900583267211914,False,0.1125250788155535,150.5,Under
2026-03-08,March_08_2026_Odds.csv,UNC Wilmington,Campbell,-6.5,-10.63382339477539,Home,Medium,4.133823394775391,False,0.98,149.5,Under
2026-03-08,March_08_2026_Odds.csv,South Florida,Charlotte,-16.5,-21.503751754760746,Home,Medium,5.003751754760742,False,0.98,152.5,Under
2026-03-08,March_08_2026_Odds.csv,Navy,Boston College,-7.5,-0.7667727470397949,Away,Medium,-6.733227252960205,False,0.947517740470449,137.5,Under
2026-03-08,March_08_2026_Odds.csv,Central Arkansas,Charlotte,-2.5,-17.243282318115234,Home,High,14.743282318115234,False,0.98,156.5,Under
2026-03-08,March_08_2026_Odds.csv,Maryland,Illinois,15.5,-20.953840255737305,Home,High,36.453840255737305,False,0.8708892316280149,145.5,Under
2026-03-08,March_08_2026_Odds.csv,UAB,East Carolina,-10.5,-26.260601043701172,Home,High,15.760601043701172,False,0.98,148.5,Under
2026-03-08,March_08_2026_Odds.csv,Green Bay,Northern Kentucky,2.5,-2.968210458755493,Home,Medium,5.468210458755493,False,0.5408769782295721,145.5,Under
2026-03-08,March_08_2026_Odds.csv,Michigan,Michigan St.,-9.5,-18.468278884887695,Home,High,8.968278884887695,False,0.98,150.5,Under
2026-03-08,March_08_2026_Odds.csv,Nebraska,Iowa,-6.5,5.011363506317139,Away,High,-11.51136350631714,False,0.6273868936806821,134.5,Under
2026-03-08,March_08_2026_Odds.csv,Oregon St.,San Francisco,3.5,-6.868454933166504,Home,High,10.368454933166504,False,0.7647606183385415,142.5,Under
2026-03-08,March_08_2026_Odds.csv,Nicholls St.,N.C. State,-3.0,2.3220245838165283,Away,Medium,-5.322024583816528,False,0.5590460487376651,139.0,Under
