Team,SU,ATS,avg_points_for,avg_points_against,avg_points_for_ha,avg_points_against_ha,ROff,RDef,last_5_wins,date
SBON,15-15,10-19,76.9,75.3,79.4,74.5,10.5,22.5,1,2026-03-07
SCAR,12-18,13-17-0,75.3,76.7,69.9,82.6,7.4,20.9,1,2026-03-07
SEA,20-12,13-17-0,72.3,67.2,68.8,72.2,8.1,21.3,4,2026-03-07
SF,16-15,13-17-0,74.4,73.3,76.7,73.6,9.5,22.4,2,2026-03-07
SHSU,21-9,18-9-0,83.3,74.3,79.7,80.2,9.9,23.6,4,2026-03-07
SIE,20-11,17-14-0,70.8,66.5,74.1,65.6,9.5,22.8,3,2026-03-07
SJSU,8-22,14-15-0,71.2,77.9,76.1,76.7,9.8,17.9,2,2026-03-07
SLU,27-3,17-12-0,88.8,68.6,82.1,71.3,7.8,27.9,3,2026-03-07
SMU,19-11,13-17-0,85.2,78.0,77.4,80.6,10.1,24.6,2,2026-03-07
STAN,19-11,17-13-0,76.1,72.6,71.7,74.3,8.8,20.0,3,2026-03-07
STON,17-14,18-11-0,71.2,70.4,76.6,69.0,7.4,24.6,2,2026-03-07
STONE,12-20,15-14-0,66.9,69.0,61.5,69.9,7.6,24.9,3,2026-03-07
STT,24-8,15-14-0,83.2,71.8,86.9,68.3,5.6,27.3,4,2026-03-07
SUU,10-20,15-12-0,76.8,79.8,87.7,74.9,9.8,26.3,2,2026-03-07
SYR,15-15,14-16-0,75.4,74.0,78.4,69.8,8.1,23.7,1,2026-03-07
TCU,20-10,17-13-0,78.1,71.6,77.6,66.9,10.6,22.4,4,2026-03-07
TENN,21-9,13-17-0,80.0,68.9,85.9,65.3,15.2,27.1,3,2026-03-07
TEX,18-12,16-13-0,84.3,76.5,85.6,71.1,11.0,25.9,2,2026-03-07
TNST,22-9,17-11-0,80.1,73.5,86.4,72.1,10.3,25.8,5,2026-03-07
TOWS,17-14,13-16-0,68.8,66.3,72.3,60.9,11.4,26.6,3,2026-03-07
TTU,22-8,17-13-0,81.5,72.2,76.0,73.9,7.0,23.6,3,2026-03-07
TXAM,20-10,17-13-0,88.3,79.1,80.7,83.4,9.0,23.5,3,2026-03-07
UCD,18-12,16-12-0,78.1,74.8,76.2,81.1,7.1,21.6,3,2026-03-07
UCI,21-10,16-13-0,77.3,68.0,83.0,67.9,10.9,29.5,4,2026-03-07
UCLA,20-10,13-17-0,77.6,71.0,69.0,75.9,9.2,18.1,3,2026-03-07
UCSB,18-12,12-16,78.2,72.8,85.9,71.7,10.0,25.5,1,2026-03-07
UCSD,21-10,15-14-0,76.4,70.3,72.1,70.5,8.7,24.6,4,2026-03-07
UGA,21-9,15-15-0,90.0,78.7,80.8,80.6,10.8,21.3,4,2026-03-07
UIC,18-14,16-14-0,75.8,70.1,77.5,65.9,10.4,23.6,3,2026-03-07
UK,19-11,15-15-0,81.4,73.4,86.3,66.9,10.5,25.4,2,2026-03-07
UMBC,21-8,16-11-0,75.5,67.1,75.5,63.4,7.4,27.1,5,2026-03-07
UNC,24-6,17-13-0,80.4,70.9,77.2,79.6,9.3,22.3,4,2026-03-07
UNCA,15-16,13-15-0,73.5,72.9,71.8,76.6,9.2,20.7,3,2026-03-07
UNCG,14-18,13-17-0,78.8,80.7,75.7,87.0,7.8,22.2,2,2026-03-07
UND,17-16,18-12-0,77.3,77.8,71.7,81.6,6.9,18.6,2,2026-03-07
UNH,9-20,12-15,69.1,74.3,64.2,78.4,8.4,21.8,1,2026-03-07
UNI,21-12,17-15-0,69.4,60.8,66.5,62.6,5.3,23.0,3,2026-03-07
