Team,SU,ATS,avg_points_for,avg_points_against,avg_points_for_ha,avg_points_against_ha,ROff,RDef,last_5_wins
FAU,17-13,15-13-0,79.8,74.4,71.8,77.5,10.3,23.4,3
WICH,20-10,19-10-0,77.9,70.5,78.1,64.3,12.6,24.8,5
SAC,10-20,12-15,78.8,82.5,71.9,86.6,9.3,20.6,1
IDHO,17-14,12-16,79.0,73.8,85.2,70.0,9.1,25.6,3
NAU,10-20,14-13-0,72.0,76.5,63.0,77.4,6.3,18.5,1
IDST,12-19,13-15-0,74.5,76.2,80.2,75.9,10.6,22.4,2
MSM,15-16,17-13-0,68.4,70.4,67.8,72.9,9.4,23.9,4
SIE,20-11,17-14-0,70.8,66.5,74.1,65.6,9.5,22.8,3
MRST,18-11,14-14-0,69.9,63.7,68.2,68.0,7.6,22.8,2
QUIN,19-12,13-17-0,75.4,71.8,75.2,69.1,13.4,22.9,2
HAMP,13-18,16-13-0,70.0,70.6,63.2,74.1,10.0,20.3,1
TOWS,17-14,13-16-0,68.8,66.3,72.3,60.9,11.4,26.6,3
CAMP,14-17,17-12-0,78.9,77.6,71.9,82.8,10.4,19.5,2
STON,17-14,18-11-0,71.2,70.4,76.6,69.0,7.4,24.6,2
ELON,14-17,11-18,78.6,78.1,75.2,76.5,9.7,21.9,1
WM,19-11,14-14-0,84.2,77.8,90.2,76.4,7.5,26.5,3
WCU,14-15,13-14-0,78.9,77.8,73.8,85.1,10.5,22.1,5
MER,19-12,19-9-0,83.0,75.5,92.4,72.4,12.1,25.7,3
